KPI_ID,المؤشر,القسم,الحالة,نوع_القيمة,Q4-2024,Q1-2025,Q2-2025,Q3-2025,Q4-2025,مستهدف_جدة,انجاز_مستهدف_جدة,الحالة_جدة,مستهدف_وطني,انجاز_مستهدف_وطني,الحالة_وطني
16111,معدل القيد بالتعليم في مرحلة رياض الأطفال,قسم رياض الأطفال,مفعل,نسبة %,25.15,25.15,25.15,25.31,32.61,,,,40,81.52,غير محقق
16112,نسبة طلاب التعليم العام الذين يتلقون خدمات التربية الخاصة,قسم ذوي الإعاقة,مفعل,نسبة %,1.65,1.73,1.73,2.04,2.27,2.33,97.42,غير محقق,1.97,115.23,محقق
16113,نسبة الطلاب الموهوبين المستفيدين من البرامج الخاصة,قسم الموهوبين,مفعل,نسبة %,13.55,,13.55,36.57,46,16.24,283.25,محقق,20,230,محقق
16211,متوسط رضا الطلبة عن الحياة (في اختبارات نافس),قسم التوجيه الطلابي,مفعل,نسبة %,80.09,,80.09,80.09,89.7,80.79,111.03,محقق,86.86,103.27,محقق
16212,متوسط أداء مدارس الإدارة العامة للتعليم في محور البيئة المدرسية,قسم التوجيه الطلابي,مفعل,قيمة عددية,75.93,76.81,76.81,76.98,76.72,80.63,95.15,غير محقق,77.65,98.8,غير محقق
16221,مستوى الانضباط في البيئة التعليمية,قسم الأمن والسلامة والمر افق,مفعل,نسبة %,81.27,,88.74,88.74,78.79,90.05,87.5,غير محقق,,,
16231,نسبة رضا المستفيدين عن الخدمات المقدمة من الإدارة العامة للتعليم (الطلاب، أولياء الأمور),قسم التوجيه الطلابي,مفعل,نسبة %,75.7,71.5,71.5,,71.5,81.2,88.05,غير محقق,85,84.12,غير محقق
16311,"نسبة مدارس التعليم العام التي حققت مستوى ""التميز"" في التقويم المدرسي",إدارة جودة الخدمات,مفعل,نسبة %,4.24,6.32,6.07,6.36,6.5,15.24,42.65,غير محقق,18.75,34.67,غير محقق
16321,نسبة أولياء الأمور المشاركين في الأنشطة المدرسية ( في اختبارات نافس ),قسم الأمن والسلامة والمر افق,مفعل,نسبة %,60.99,,60.99,63.61,73.14,88.49,82.65,غير محقق,65.8,111.16,محقق
16331,نسبة طلاب التعليم العام الذين يجتازون الحد الأدنى من المهارات في الاختبارات الوطنية,قسم الإشراف التربوي,مفعل,نسبة %,44.06,48.39,44.06,48.39,48.39,55.06,87.89,غير محقق,52.12,92.84,غير محقق
16332,نسبة طلاب التعليم العام الذين يحققون مستويات عالية في الاختبارات الوطنية,قسم النشاط الطلابي,مفعل,نسبة %,15.91,17.35,15.91,17.35,17.35,15.91,109.05,محقق,9.45,183.6,محقق
16333,متوسط أداء الطلاب في الاختبارات الوطنية (نافس),قسم الإشراف التربوي,مفعل,قيمة عددية,611,622,611,622,622,677.7,91.78,غير محقق,662,93.96,غير محقق
16411,نسبة طلاب التعليم العام الملتحقين بالمدارس غير حكومية,قسم الإشراف التربوي,مفعل,نسبة %,27.23,,27.23,26.87,27.23,26.86,101.38,محقق,21.6,126.06,محقق
